Title,Description,Source,Fetched Date
UK and India to relaunch trade talks in Delhi,British trade secretary Jonathan Reynolds is in Delhi to kickstart two days of discussions on the deal,BBC Business,2025-02-24T07:23:50.486053
Key US agencies tell staff not to answer Musk email on what they did last week,Some departments encouraged staff to respond while others requested employees wait for further guidance,BBC Business,2025-02-24T07:23:50.486053
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-02-24T07:23:50.486053
Trump administration to cut thousands of jobs at Pentagon and IRS,The cuts targeting mostly new and recently promoted workers are part of the administrations push to shrink the federal work force,BBC Business,2025-02-24T07:23:50.486053
Cryptocurrency theft of 11bn could be biggest ever,Dubaibased Bybit said it could afford to reimburse customers and that it was working to find the hackers,BBC Business,2025-02-24T07:23:50.486053
List weekly accomplishments or resign Musk tells US federal workers,The weekend email comes as Elon Musk leads an effort to aggressively curtail the government workforce,BBC Business,2025-02-24T07:23:50.486053
Can Canadians get the world drinking tree sap,The largest producer of maple syrup now wants you to drink the sap which it calls maple water,BBC Business,2025-02-24T07:23:50.486053
BMW delays electric Mini over uncertainty,The vehicle manufacturer says multiple uncertainties in the industry led to its decision,BBC Business,2025-02-24T07:23:50.486053
Musk wields his Doge chainsaw but is a backlash brewing,Facing constituents angry about the impact of sweeping government job cuts some Republicans are expressing concern,BBC Business,2025-02-24T07:23:50.486053
BBC undercover filming exposes Indian pharma firm fuelling opioid crisis,An Indian drug maker tells a BBC undercover team its addictive cocktail drug is very harmful but this is business,BBC Business,2025-02-24T07:23:50.486053
NYSE Opening Bell,Watch the latest from BBCs new daily business programme coming from the heart of New Yorks financial district,BBC Business,2025-02-24T07:23:50.486053
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2025-02-24T07:23:50.486053
How one product made a multimillion dollar brand,Nell Diamond CEO of Hill House Home shares how her small business skyrocketed to global success with the launch of the Nap Dress in 2019,BBC Business,2025-02-24T07:23:50.486053
Scotch makers condemn English single malt whisky proposal,Scottish distilleries and MPs claim Englands methods would damage the reputation of single malt,BBC Business,2025-02-24T07:23:50.486053
I make more in one hour on TikTok than a day in the shop,Laura Mallows sells most of her products via TikTok but dreams of opening a physical shop once more,BBC Business,2025-02-24T07:23:50.486053
