Title,Description,Source,Fetched Date
Trumps explosive global tariffs take effect including a 104 rate on China,European and Asian markets slump again as the US presidents taxes on goods from 60 worst offending countries kick in,BBC Business,2025-04-09T07:26:01.799534
Trumps tariffs are a blow for Vietnams economic ambitions,The tariffs are a huge blow for countries like Vietnam Thailand and Cambodia that rely on exports,BBC Business,2025-04-09T07:26:01.799534
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-04-09T07:26:01.799534
AI chips not ice creams ministers dig at Indian startups sparks debate,Commerce Minister Piyush Goyal says Indian startups need to focus more on deeptech innovations,BBC Business,2025-04-09T07:26:01.799534
UK investigating claims green fuel contains virgin palm oil,The BBC finds evidence of fraud in the production of a green diesel meant to cut emissions,BBC Business,2025-04-09T07:26:01.799534
India cuts rates as Trumps tariffs put growth at risk,Indias central bank has cut interest rates by 025 and lowered its growth projections for this year,BBC Business,2025-04-09T07:26:01.799534
At a glance Trumps tariffs on China EU and rest of the world,Besides a 10 rate globally some countries billed as worst offenders have higher rates including 104 for China,BBC Business,2025-04-09T07:26:01.799534
The Canadians and Danes boycotting American products,As anger grows over Trumps tariffs apps and social media groups are helping people avoid US goods,BBC Business,2025-04-09T07:26:01.799534
Its Microsofts 50th birthday what comes next,Its Microsofts 50th anniversary and BBC technology editor Zoe Kleinman tours its Redmond headuarters,BBC Business,2025-04-09T07:26:01.799534
A revolution is under way in Indias trainer industry,India wants to boost the domestic trainer industry but will small domestic makers suffer,BBC Business,2025-04-09T07:26:01.799534
NYSE Opening Bell,Watch the latest from BBCs new daily business programme coming from the heart of New Yorks financial district,BBC Business,2025-04-09T07:26:01.799534
The exGoogle exec who wants to simplify your life,Marissa Mayer a former Google and Yahoo executive believes AI should simplify our lives,BBC Business,2025-04-09T07:26:01.799534
UK government considers nationalising British Steel,There are fears among ministers that the companys blast furnaces could run out of raw materials within days,BBC Business,2025-04-09T07:26:01.799534
BBC Verify What would a USChina trade war do to the world economy,The US president says he will hit Beijing with further tariffs as global markets continue to fall,BBC Business,2025-04-09T07:26:01.799534
Musk labels Trump trade adviser moron over Tesla comments,Peter Navarro had described Musks electric car company as a car assembler rather than manufacturer,BBC Business,2025-04-09T07:26:01.799534
Government rejects buy British campaign to combat tariffs,Ministers say telling people what to buy is not the answer to US tariffs but they will back UK manufacturers,BBC Business,2025-04-09T07:26:01.799534
Who are the tariff PANICANS derided as weak and stupid by Trump,The US president has lashed out at those criticising his tariffs policy who include some of his top backers,BBC Business,2025-04-09T07:26:01.799534
Is the US heading for a recession Three warning signs to watch,Michelle Fleury explains the factors to watch in the economy after President Trumps tariff announcements,BBC Business,2025-04-09T07:26:01.799534
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2025-04-09T07:26:01.799534
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2025-04-09T07:26:01.799534
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2025-04-09T07:26:01.799534
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2025-04-09T07:26:01.799534
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2025-04-09T07:26:01.799534
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2025-04-09T07:26:01.799534
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2025-04-09T07:26:01.799534
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2025-04-09T07:26:01.799534
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2025-04-09T07:26:01.799534
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2025-04-09T07:26:01.799534
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2025-04-09T07:26:01.799534
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2025-04-09T07:26:01.799534
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2025-04-09T07:26:01.799534
Trumps game of chicken over tariffs leaves world guessing,The US president is pressing ahead with his global tariffs as even some allies wonder if he is going too far,BBC Business,2025-04-09T07:26:01.799534
China is not backing down from Trumps tariff war What next,The USChina trade war shows no signs of slowing down leaving the world unsure of what to expect,BBC Business,2025-04-09T07:26:01.799534
Trump threatens new 50 tariffs on China,The US president warns of the extra tax unless China withdraws its own 34 countertariff on US goods,BBC Business,2025-04-09T07:26:01.799534
Wild market swings as tariffs rattle US economy,Stocks swung sharply in the US as Trump offered mixed signals about appetite for trade talks,BBC Business,2025-04-09T07:26:01.799534
Stocks tariffs and pensions your questions answered,Experts answer your questions on how the stock market index works whether the markets will recover and more,BBC Business,2025-04-09T07:26:01.799534
