Title,Description,Source,Fetched Date
Sri Lanka eases vehicle import ban but can people afford a new car,A scarcity of vehicles to buy the countrys weak currency and high taxes have forced up prices of cars,BBC Business,2025-01-31T07:21:59.362622
Canada and Mexico face 25 tariffs on Saturday Trump says,The president also suggested he still plans to impose new tariffs on China but did not give any details,BBC Business,2025-01-31T07:21:59.362622
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-01-31T07:21:59.362622
Farmers in bird flu panic call for UK vaccine plan,Vaccinating poultry against bird flu is still not allowed in the UK despite a rise in farm outbreaks,BBC Business,2025-01-31T07:21:59.362622
US economic growth slows despite consumers spending more,The worlds largest economy missed forecasts after expanding at 23 between October and December,BBC Business,2025-01-31T07:21:59.362622
Five key impacts of Brexit five years on,The UK left the European Union on 31 January 2020,BBC Business,2025-01-31T07:21:59.362622
New nonopioid painkiller approved by US health agency,New drug suzetrigine known by its brand name Journavx has been approved to treat moderate to severe pain,BBC Business,2025-01-31T07:21:59.362622
Apple iPhone sales dip despite AI rollout,The companys signature phone has been updated with artificial intelligence but sales are down,BBC Business,2025-01-31T07:21:59.362622
How a US freeze upended global aid in a matter of days,The State Department says the freeze was the only way to evaluate aid programs and defended the pause,BBC Business,2025-01-31T07:21:59.362622
Leaving X can be a tricky decision for brands,Many companies have left X but its not always a simple decision,BBC Business,2025-01-31T07:21:59.362622
Expert predicts no Fed rate cut before June 29 Jan 2025,Mohamed ElErian chief economic adviser at Allianz says we will have to wait quite a bit for another rate cut,BBC Business,2025-01-31T07:21:59.362622
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2025-01-31T07:21:59.362622
How one product made a multimillion dollar brand,Nell Diamond CEO of Hill House Home shares how her small business skyrocketed to global success with the launch of the Nap Dress in 2019,BBC Business,2025-01-31T07:21:59.362622
Meta to pay 25m to settle Trump lawsuit over ban,The president sued the firm in 2021 over the suspension of his accounts after the 6 January Capitol riots,BBC Business,2025-01-31T07:21:59.362622
Trump attacks Fed after no change in interest rates,The US central bank keeps its key interest rate unchanged as it faces significant economic uncertainty,BBC Business,2025-01-31T07:21:59.362622
We were blindsided Federal workers react to buyout offer,Federal workers were told they could take part in a deferred resignation program in exchange for eightmonths of pay,BBC Business,2025-01-31T07:21:59.362622
CocaCola recalls drinks in UK due to chemical levels,The firm is recalling CocaCola products from shops but says the risk of illness is very low,BBC Business,2025-01-31T07:21:59.362622
OpenAI says Chinese rivals using its work for their AI apps,ChatGPT maker says it will need extra protection from US government following emergence of Chinese rival DeepSeek,BBC Business,2025-01-31T07:21:59.362622
Roman Abramovich could owe UK 1bn over tax dodge that helped bankroll Chelsea FC,Scheme to avoid tax on offshore billions may have been botched because money was managed from the UK BBC learns,BBC Business,2025-01-31T07:21:59.362622
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2025-01-31T07:21:59.362622
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2025-01-31T07:21:59.362622
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2025-01-31T07:21:59.362622
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2025-01-31T07:21:59.362622
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2025-01-31T07:21:59.362622
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2025-01-31T07:21:59.362622
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2025-01-31T07:21:59.362622
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2025-01-31T07:21:59.362622
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2025-01-31T07:21:59.362622
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2025-01-31T07:21:59.362622
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2025-01-31T07:21:59.362622
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2025-01-31T07:21:59.362622
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2025-01-31T07:21:59.362622
Trump offers millions of federal workers eight months pay to resign,The offer is part of the presidents plan to shrink and reform the US government,BBC Business,2025-01-31T07:21:59.362622
Chancellor backs Heathrow expansion to boost UK growth,Rachel Reeves announces wideranging plans to get the UKs sluggish economy moving,BBC Business,2025-01-31T07:21:59.362622
Garmin users say smartwatches have stopped working,Its Fenix 8 smartwatches which retail for just under 1000 are some of the devices to have issues,BBC Business,2025-01-31T07:21:59.362622
US tech stocks steady after DeepSeek AI app shock,DeepSeeks claim that its model was made at a fraction of the cost of its rivals has rocked the AI industry,BBC Business,2025-01-31T07:21:59.362622
Boeing loses almost 1bn every month in 2024,Boeing reported its second biggest annual loss ever after a tough year following a midair accident and worker strikes,BBC Business,2025-01-31T07:21:59.362622
UK will not be able to resist Chinas tech dominance,Chinas AI success has come from policy and Chancellor Rachel Reevess recent visit to China highlights the importance of a close relationship,BBC Business,2025-01-31T07:21:59.362622
How Chinas AI heroes overcame US curbs to stun Silicon Valley,How did a littleknown Chinese startup build a powerful new AI model despite restrictions,BBC Business,2025-01-31T07:21:59.362622
Abramovich dodged millions in tax with superyachtsforhire scheme,Shell companies were used to charter the sanctioned oligarchs yachts to himself evading VAT BBC reveals,BBC Business,2025-01-31T07:21:59.362622
Chinas DeepSeek AI shakes industry and dents Americas swagger,The app spooked the markets as well as the bullish sense of American superiority in AI development,BBC Business,2025-01-31T07:21:59.362622
Sean Diddy Combs Hit With Revised Sex Trafficking Indictment,The superseding indictment doesnt contain any new charges If convicted the rap mogul faces a maximum sentence of life in prison,Hollywood Reporter,2025-01-31T07:21:59.575586
Celebrities Fuel Super Bowl 2025s Ad Lineup Watch Ads With Chris Pratt Eugene Levy Meg Ryan Billy Crystal and More,The biggest names for the big game,Hollywood Reporter,2025-01-31T07:21:59.575586
Ben Vaughn Nashville Music Publishing Veteran Dies at 49,A beloved figure in the country music world he served as PresidentCEO of Warner Chappell,Hollywood Reporter,2025-01-31T07:21:59.575586
Marianne Faithfull As Tears Go By Singer Dies at 78,The actress and Swinging London It girl of the 1960s was the subject of Rolling Stones songs including Wild Horses and Sister Morphine,Hollywood Reporter,2025-01-31T07:21:59.575586
Final Grammy Predictions Beyonc Billie Eilish Chappell Roan Poised to Rule Ladies Night,Top female talents will take on the Beatles at Sundays show where THR expects theyll prevail in the big four categories album record and song of the year and best new artist,Hollywood Reporter,2025-01-31T07:21:59.575586
Matthew Perry Foundation and Massachusetts General Hospital Officially Launch Fellowship in Addiction Medicine,The Matthew Perry Foundation Fellowship in Addiction Medicine the first official program to bear the late actors name outside of the nonprofit has selected Dr Sarah SK Kler for its inaugural fellowship,Hollywood Reporter,2025-01-31T07:21:59.575586
Where to Stream Sonic the Hedgehog 3 Online,Keanu Reeves joins the voice cast as Shadow in the third Sega video gameinspired film that features Ben Schwartz Idris Elba Colleen OShaughnessey and more,Hollywood Reporter,2025-01-31T07:21:59.575586
German Actors Protest FarRight Vote in Parliament,A whos who of German talent signed an open letter calling for political leaders to uphold democratic values after a historic vote in the Bundestag that saw antiimmigration proposal pass with the support of the farright,Hollywood Reporter,2025-01-31T07:21:59.575586
Everyone Aboard American Airlines Jet That Collided With Army Helicopter Feared Dead,US Figure Skating confirms several members of our skating community were on the flight We are devastated by this unspeakable tragedy,Hollywood Reporter,2025-01-31T07:21:59.575586
Mercenaries for Millionaires Inside the Private Army That Protects LAs Rich and Famous,THR spends a night battling looters and wildfires with Covered 6 the most successful and until now secretive private security force in Los Angeles Is this the future of public safety Or the end of equal protection,Hollywood Reporter,2025-01-31T07:21:59.575586
Bill Burr Calls Howie Mandel a Hollywood Whore After Billy Corgan Ambush During Podcast Appearance,Mandel recently staged a surprise family reunion after Corgan revealed that he and Burr might be related,Hollywood Reporter,2025-01-31T07:21:59.575586
Meryl Streeps Escape From LA Fires Reportedly Involved Cutting Open a Fence to Drive to Safety,The threetime Oscar winner had to act quickly after a tree had blocked her cars path out of harms way according to an account from her nephew in New York Magazine,Hollywood Reporter,2025-01-31T07:21:59.575586
Masrh injury blow adds to summer of woe,Australia is in search for a replacement to its Champions Trophy side after losing one of its more important players to injury,News AU,2025-01-31T07:22:00.799556
Wallabies grudge match secured with Jones Japan,He left the Wallabies after a horror World Cup campaign to take a job in Japan some say hed already lined up and now Eddie Jones will have to coach against his former players,News AU,2025-01-31T07:22:00.799556
Ange keen to build on great night,Ange Postecoglou enjoyed Tottenhams Europa League win over Elfsborg but wasnt getting carried away knowing Spurs must find some English Premier League form,News AU,2025-01-31T07:22:00.799556
Richmonds message to Balta after assault charge,Noah Balta has been asked to earn back trust after his assault charge as a concussion blow sent a star forward to the sidelines,News AU,2025-01-31T07:22:00.799556
Theres a deviation Healy fumes after DRS drama,Australia has taken the initiative in the womens Ashes Test but only after a DRS drama which had captain Alyssa Healy fuming FOLLOW DAY 2 LIVE,News AU,2025-01-31T07:22:00.799556
Not ashamed Tennis stars get divorced,A star tennis couple have opened up about their secret divorce in a shockingly big decision that took fans and players by surprise,News AU,2025-01-31T07:22:00.799556
Australia left reeling by horrific Dokic reveal,Aussies are praising Jelena Dokic for her bravery after the tennis great recalled horrifying details of an incident with her abusive father,News AU,2025-01-31T07:22:00.799556
Update on AFL great accused of sex with 9yo,The prosecution has revealed how many witnesses it is considering in the trial of a former AFL legend accused of historical sexual abuse,News AU,2025-01-31T07:22:00.799556
Stars massive first task as Eels skipper,Mitch Moses has only been captain for a couple of days but he faces his first major test and its all to do with his powers of persuasion,News AU,2025-01-31T07:22:00.799556
Its just a number Rep star set for switch,Patrick Carrigan may be one of the best locks in the world but hes willing to play a new role in 2025 if it helps the Broncos,News AU,2025-01-31T07:22:00.799556
Heartbreak as US icons worst fears realised,An American legend has been brought to tears when revealing her devastating personal connection to the Washington plane crash tragedy,News AU,2025-01-31T07:22:00.799556
Horror as WWE star rushed to hospital,A WWE star has suffered gruesome injuries after a sickening incident that saw him collapse on live television,News AU,2025-01-31T07:22:00.799556
Tragedy as teen gymnast falls from pole dies,A rising gymnast was killed in tragic circumstances after falling from a pole during chaotic scenes in Philadelphia,News AU,2025-01-31T07:22:00.799556
Fans brawl in the stands at basketball game,A college basketball game had to be stopped as a wild brawl broke out in the stands leaving the commentators stunned,News AU,2025-01-31T07:22:00.799556
Another Roos keeper on the move,Socceroo Joe Gaucis quest for game time has taken him from the Premier League to the third tier of English football,News AU,2025-01-31T07:22:00.799556
UFC 312 Volk teammate promises to get revenge on Topuria,Colby Thicknesse was listening to Triple Js Hottest 100 countdown when he received a message that changed his life Now the Wollongong fighter has vowed to get revenge,News AU,2025-01-31T07:22:00.799556
Aussie F1 star on borrowed time already,Australias Jack Doohan is under massive pressure to keep his spot in Formula 1 amid mounting speculation hes on borrowed time,News AU,2025-01-31T07:22:00.799556
We saw her F1 erupts at Lewis footage,F1 fans have gone into meltdown after spotting a major detail in footage of Lewis Hamiltons first test drive on track with Ferrari,News AU,2025-01-31T07:22:00.799556
Basketball Australia U20 Nationals Hub How to watch live schedules key info,Finals have arrived at the Basketball Australia Under20 Ivor Burge National Championships and every match will be live See how to watch and find the LIVE STREAMS here,News AU,2025-01-31T07:22:00.799556
Aussie champ unveils major change,Adam Scott won the Masters after turning to a long putter and another Australian superstar has wheeled out the long stick for the first time,News AU,2025-01-31T07:22:00.799556
125m filly ready for debut in Chairmans Stakes,A 125m filly will debut in the Group 3 Chairmans Stakes at Sandown but bookmakers are lukewarm about her chances,News AU,2025-01-31T07:22:00.799556
Waugh Home World Cup is the Wallabies chance for redemption,Rugby Australia chief Phil Waugh declares the 2027 Rugby World Cup at home the Wallabies chance for redemption as Melbourne misses out on blockbuster games,News AU,2025-01-31T07:22:00.799556
Olympian to learn familys pain in court,The heartbroken family of an Olympic cyclist are expected to deliver victim impact statements detailing their pain and grief to the court,News AU,2025-01-31T07:22:00.799556
