Title,Description,Source,Fetched Date,Combined Text,Score,Sentiment
Will Musks explosive row with Trump help or harm his businesses,Experts say his tech empire needs more of Musks attention but also the continued custom of the government,BBC Business,2025-06-07T07:24:53.272002,musk explosive row trump help harm business . expert say tech empire need musk attention also continued custom government,-0.2023,Neutral
How Trump and Musk are still linked despite falling out,Political contributions government contracts and staff with divided loyalties mean the fallout may have only just begun,BBC Business,2025-06-07T07:24:53.272002,trump musk still linked despite falling . political contribution government contract staff divided loyalty mean fallout may begun,0.6052,Positive
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-06-07T07:24:53.272002,world business . gain leading edge global insight boardroom beyond inbox every wednesday,0.5267,Positive
MS hackers sent abuse and ransom demand directly to CEO,The criminals told the retailers boss he could make things fast and easy if he complied with their demands,BBC Business,2025-06-07T07:24:53.272002,m hacker sent abuse ransom demand directly ceo . criminal told retailer bos could make thing fast easy complied demand,-0.7717,Negative
Tesla shares tumble as TrumpMusk feud erupts,Tesla shares plunged 14 marking one of the steepest declines in months as Musk and Trump battled online,BBC Business,2025-06-07T07:24:53.272002,tesla share tumble trumpmusk feud erupts . tesla share plunged 14 marking one steepest decline month musk trump battled online,-0.0516,Neutral
On board the driverless lorries hoping to transform Chinas transport industry,Driverless lorries are now operating across China but public concern about these vehicles remains,BBC Business,2025-06-07T07:24:53.272002,board driverless lorry hoping transform china transport industry . driverless lorry operating across china public concern vehicle remains,0.4215,Positive
The decadesold intrigue over an Indian guest house in Mecca,A nowdemolished guest house in Mecca is at the centre of a bitter family tussle in India,BBC Business,2025-06-07T07:24:53.272002,decadesold intrigue indian guest house mecca . nowdemolished guest house mecca centre bitter family tussle india,-0.4215,Negative
India central bank delivers sharp rate cut as growth and inflation fall,Indias economy grew by 65 in the previous financial year ending March data last week showed,BBC Business,2025-06-07T07:24:53.272002,india central bank delivers sharp rate cut growth inflation fall . india economy grew 65 previous financial year ending march data last week showed,0.128,Neutral
How airline fees have turned baggage into billions,The amount carriers now charge for luggage is raising the ire of politicians and consumer groups,BBC Business,2025-06-07T07:24:53.272002,airline fee turned baggage billion . amount carrier charge luggage raising ire politician consumer group,0.0,Neutral
US green energy firms brace for federal funding cuts,Billions of dollars of US federal funding for green energy projects hangs in the balance,BBC Business,2025-06-07T07:24:53.272002,u green energy firm brace federal funding cut . billion dollar u federal funding green energy project hang balance,0.2732,Positive
Markets up on positive job numbers 6 June 2025,Expert says the data shows solid growth in the labour market particularly in the private sector,BBC Business,2025-06-07T07:24:53.272002,market positive job number 6 june 2025. expert say data show solid growth labour market particularly private sector,0.7964,Positive
Why food firms are scrambling to cut down on ingredients,Food firms are marketing ranges with fewer ingredients but are they healthier,BBC Business,2025-06-07T07:24:53.272002,food firm scrambling cut ingredient . food firm marketing range fewer ingredient healthier,-0.2732,Negative
India leads in remittances but Trumps tax could deal a blow,Trumps proposed 35 tax on remittances by foreign workers could seriously impact top recipient India,BBC Business,2025-06-07T07:24:53.272002,india lead remittance trump tax could deal blow . trump proposed 35 tax remittance foreign worker could seriously impact top recipient india,0.0258,Neutral
Lululemon shares plunge as Trump tariffs bite,The athleisure brand joins a growing list of big firms to warn about the impact of Trumps policies,BBC Business,2025-06-07T07:24:53.272002,lululemon share plunge trump tariff bite . athleisure brand join growing list big firm warn impact trump policy,0.5719,Positive
Dr Martens profits slump by more than 90,The company says a challenging market and uncertainty about tariffs are having an effect,BBC Business,2025-06-07T07:24:53.272002,dr marten profit slump 90. company say challenging market uncertainty tariff effect,0.2732,Positive
Tariffs prompt record plunge in US imports,American purchases of Canadian goods in April fell to the lowest level since 2021,BBC Business,2025-06-07T07:24:53.272002,tariff prompt record plunge u import . american purchase canadian good april fell lowest level since 2021,0.0772,Neutral
Trump confirms China trip after very good call with Xi,The leaders of the US and China agree to further talks aimed at reaching a deal amid an ongoing trade war,BBC Business,2025-06-07T07:24:53.272002,trump confirms china trip good call xi . leader u china agree talk aimed reaching deal amid ongoing trade war,0.3182,Positive
USBoeing deal over crashes repugnant lawyer for victims families,The plane maker has agreed to pay 11bn to avoid prosecution over two fatal crashes that killed 346 people,BBC Business,2025-06-07T07:24:53.272002,usboeing deal crash repugnant lawyer victim family . plane maker agreed pay 11bn avoid prosecution two fatal crash killed 346 people,-0.9595,Negative
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2025-06-07T07:24:53.272002,playing fire quit work retire 30 . personal finance strategy popular among millennials helping quit job retire decade early,0.5267,Positive
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2025-06-07T07:24:53.272002,boomerang ceo ever succeed . five year ousted wework adam neumann want rebuy nowbankrupt business,0.5423,Positive
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2025-06-07T07:24:53.272002,industry leader transformed career . bbcs katty kay spoken successful changemakers ask made pivot career,0.5859,Positive
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2025-06-07T07:24:53.272002,woman original beer brewer changed . today beer industry maledominated wasnt always,0.3182,Positive
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2025-06-07T07:24:53.272002,waiting alters perception time . expert advice get waiting period,0.0,Neutral
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2025-06-07T07:24:53.272002,superrich deserve wealth . cap billionaire wealth inheritance,0.7506,Positive
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2025-06-07T07:24:53.272002,four simple hack succeed every conversation . career coach choreographer chef dragon boat captain offer advice giving critical feedback,0.5106,Positive
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2025-06-07T07:24:53.272002,solo hybrid work navigating future new normal . covid19 reshaped way live work rethink solo working explore future worklife,0.0,Neutral
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2025-06-07T07:24:53.272002,supersonic flight ever sustainable . new era quiet net zero supersonic airliner could revolutionise aviation industry,0.0,Neutral
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2025-06-07T07:24:53.272002,commencement speech surprising pitfall passion . student graduating u week commencement speech might lead questionable choice,0.4404,Positive
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2025-06-07T07:24:53.272002,desk full description work colleague . long lost word youve waiting describe colleague,-0.3182,Negative
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2025-06-07T07:24:53.272002,veterinarian suicide rate high . veterinarian professional committing suicide higher rate general population,-0.8658,Negative
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2025-06-07T07:24:53.272002,asmr whispering took internet . meet creator behind current asmr boom,0.0,Neutral
Europe cuts interest rates as Trumps tariffs loom,The eurozones central bank makes its eighth cut but warns US tariffs will weigh on the economy,BBC Business,2025-06-07T07:24:53.272002,europe cut interest rate trump tariff loom . eurozones central bank make eighth cut warns u tariff weigh economy,-0.3612,Negative
World Bank Uturn ends loan ban to Uganda over gay rights,The bank had ended all lending to Uganda two years ago because of a harsh new antiLGBTQ law,BBC Business,2025-06-07T07:24:53.272002,world bank uturn end loan ban uganda gay right . bank ended lending uganda two year ago harsh new antilgbtq law,-0.7579,Negative
Stores open at midnight as fans rush to buy Nintendo Switch 2,One retailer says its the biggest gaming preorder ever but there questions over whether high prices will dent sales,BBC Business,2025-06-07T07:24:53.272002,store open midnight fan rush buy nintendo switch 2. one retailer say biggest gaming preorder ever question whether high price dent sale,0.3182,Positive
Musk urges Americans to tell lawmakers to kill the bill,Billionaire says the bill which faces a key test in the Senate undercuts efforts to slash federal spending,BBC Business,2025-06-07T07:24:53.272002,musk urge american tell lawmaker kill bill . billionaire say bill face key test senate undercut effort slash federal spending,-0.7783,Negative
Musk turns on Republicans and gives Trumps big bill a harder path,The billionaires criticism could embolden Republicans who are considering voting against the tax and spending bill,BBC Business,2025-06-07T07:24:53.272002,musk turn republican give trump big bill harder path . billionaire criticism could embolden republican considering voting tax spending bill,-0.4404,Negative
