Title,Description,Source,Fetched Date,Combined Text,Sentiment,Score
Have supermarkets in UK reached peak selfscan,Supermarket are beginning to question the divisive technology after years of criticism from shoppers,BBC Business,2024-08-25T07:16:13.346548,supermarket uk reached peak selfscan . supermarket beginning question divisive technology year criticism shopper,-0.3612,Negative
Blockbuster Chinese video game tried to police players and divided the internet,The hugely popular Black Myth Wukong has attracted some press for the wrong reasons,BBC Business,2024-08-25T07:16:13.346548,blockbuster chinese video game tried police player divided internet . hugely popular black myth wukong attracted press wrong reason,0.7713,Positive
TikTok blamed for hit to Iceland cucumber supply,One supermarket says demand has more than doubled after viral videos promote unique recipes,BBC Business,2024-08-25T07:16:13.346548,tiktok blamed hit iceland cucumber supply . one supermarket say demand doubled viral video promote unique recipe,-0.25,Negative
Jeremy Clarksons pub opening attracts huge crowds,The former Top Gear presenter says he paid less than 1 million for the Cotswolds pub,BBC Business,2024-08-25T07:16:13.346548,jeremy clarksons pub opening attracts huge crowd . former top gear presenter say paid less 1 million cotswold pub,0.7003,Positive
Should you have to pay for online privacy,Some websites have started introducing paywalls which can be lifted with data rather than cash,BBC Business,2024-08-25T07:16:13.346548,pay online privacy . website started introducing paywalls lifted data rather cash,-0.1027,Neutral
Telegram CEO Pavel Durov arrested at French airport,The 39yearold was detained after his private jet landed at Le Bourget Airport in northern Paris,BBC Business,2024-08-25T07:16:13.346548,telegram ceo pavel durov arrested french airport . 39yearold detained private jet landed le bourget airport northern paris,-0.7003,Negative
SpaceX will return stranded astronauts next year,Sunita Williams and Barry Wilmore were supposed to be on an eightday mission but will not return to Earth until 2025,BBC Business,2024-08-25T07:16:13.346548,spacex return stranded astronaut next year . sunita williams barry wilmore supposed eightday mission return earth 2025,0.0,Neutral
ExBoeing staff claims electrical faults concealed,A campaign group has accused Boeing of concealing information about electrical problems on a plane,BBC Business,2024-08-25T07:16:13.346548,exboeing staff claim electrical fault concealed . campaign group accused boeing concealing information electrical problem plane,-0.765,Negative
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-08-25T07:16:13.346548,good bad billionaire . simon jack zing tsjeng find world billionaire made money judge good bad another billionaire listen season two new episode released monday,-0.296,Negative
Why Zoom wants you to go back to the office,Zoom chief product officer Smita Hashim explains why even videochat innovators need the physical space with a little help from AI,BBC Business,2024-08-25T07:16:13.346548,zoom want go back office . zoom chief product officer smita hashim explains even videochat innovator need physical space little help ai,0.4033,Positive
Aly Raisman on competing at the highest level,The decorated US gymnast opened up to the BBCs Katty Kay about blocking out the noise trusting her training and her winning mindset,BBC Business,2024-08-25T07:16:13.346548,aly raisman competing highest level . decorated u gymnast opened bbcs katty kay blocking noise trusting training winning mindset,0.5423,Positive
Jackie JoynerKersees goldmedal attitude,The retired athlete and halloffamer opened up to the BBCs Katty Kay about the challenges she faced on the road to the Olympics and the winning mindset that saw her through them,BBC Business,2024-08-25T07:16:13.346548,jackie joynerkersees goldmedal attitude . retired athlete halloffamer opened bbcs katty kay challenge faced road olympics winning mindset saw,0.5719,Positive
Olympic legend Lindsey Vonn explains the mindset of a winner,The decorated US downhill skier opens up to Katty Kay about the mental state that led her to gold medal victory and the hole thats left when her mind isnt on winning anymore,BBC Business,2024-08-25T07:16:13.346548,olympic legend lindsey vonn explains mindset winner . decorated u downhill skier open katty kay mental state led gold medal victory hole thats left mind isnt winning anymore,0.6278,Positive
US accuses software firm of driving rent hikes,The US has sued software firm RealPage accusing it of allowing landlords to coordinate on pricing,BBC Business,2024-08-25T07:16:13.346548,u accuses software firm driving rent hike . u sued software firm realpage accusing allowing landlord coordinate pricing,-0.4767,Negative
Canadian rail workers begin returning to work as stoppage partially ends,Workers at one of Canadas two main railways resume work on Friday partially ending a lockout after government intervention,BBC Business,2024-08-25T07:16:13.346548,canadian rail worker begin returning work stoppage partially end . worker one canada two main railway resume work friday partially ending lockout government intervention,0.0,Neutral
Time has come for interest rate cut says Fed chair,The remarks signal a new fight for the US central bank after two years battling inflation,BBC Business,2024-08-25T07:16:13.346548,time come interest rate cut say fed chair . remark signal new fight u central bank two year battling inflation,-0.4215,Negative
Bolt acts to halt NigeriaSouth Africa taxiwar,People were booking and then cancelling rides in the other country as a prank,BBC Business,2024-08-25T07:16:13.346548,bolt act halt nigeriasouth africa taxiwar . people booking cancelling ride country prank,-0.2023,Neutral
Moment Botswanas president feels weight of giant diamond,Botswanas president Mokgweetsi Masisi couldnt hide his surprise as he held the worlds second largest diamond,BBC Business,2024-08-25T07:16:13.346548,moment botswana president feel weight giant diamond . botswana president mokgweetsi masisi couldnt hide surprise held world second largest diamond,0.5429,Positive
Chinese scammers cheated victims from Isle of Man base,A seaside hotel and office block were used by scam artists who tricked people out of millions of dollars,BBC Business,2024-08-25T07:16:13.346548,chinese scammer cheated victim isle man base . seaside hotel office block used scam artist tricked people million dollar,-0.9118,Negative
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2024-08-25T07:16:13.346548,playing fire quit work retire 30 . personal finance strategy popular among millennials helping quit job retire decade early,0.5267,Positive
