Title,Description,Source,Fetched Date
DeepSeek a wakeup call for US tech firms Trump says,DeepSeeks claim that its model was made at a fraction of the cost of its rivals has rocked the AI industry,BBC Business,2025-01-28T07:22:50.003156
Microsoft in talks to buy TikTok Trump says,The US President says he would like to see a bidding war over the sale of the social media app,BBC Business,2025-01-28T07:22:50.003156
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-01-28T07:22:50.003156
Jaguar Land Rover bets 80m on bespoke paint services,The firm says it will more than double its capacity for bespoke paint orders for wealthy customers,BBC Business,2025-01-28T07:22:50.003156
Colombia yields on US deportation flights to avert trade war,President Gustavo Petro agrees to accept deported migrants after Trump ordered 25 tariffs on all goods,BBC Business,2025-01-28T07:22:50.003156
What is DeepSeek and why did it cause tech stocks to drop,The Chinese company is making a major splash in AI with the release of its chatbot app in the US,BBC Business,2025-01-28T07:22:50.003156
Is Chinas AI tool DeepSeek as good as it seems,The artificial intelligence AI tool has shocked US markets after bursting onto the scene,BBC Business,2025-01-28T07:22:50.003156
CocaCola recalls drinks over safety concerns,The company says the drinks contain higher levels of chlorate but says the risk is very low,BBC Business,2025-01-28T07:22:50.003156
Cooperate or else Trumps Colombia faceoff is warning to all leaders,Trump appears ready to punish nations he views as not sufficiently supporting hardline immigration polices,BBC Business,2025-01-28T07:22:50.003156
Elon Musk MrBeast Larry Ellison Who might buy TikTok,Several potential US buyers have expressed interest in purchasing the social media platform,BBC Business,2025-01-28T07:22:50.003156
Leaders leave Davos with cautious optimism 24 Jan 2025,As the World Economic Forum closes senior WEF official says leaders leave Davos with constructive optimism,BBC Business,2025-01-28T07:22:50.003156
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2025-01-28T07:22:50.003156
How one product made a multimillion dollar brand,Nell Diamond CEO of Hill House Home shares how her small business skyrocketed to global success with the launch of the Nap Dress in 2019,BBC Business,2025-01-28T07:22:50.003156
New Zealand eases visa rules for digital nomads to boost tourism,Visitors can now carry out remote working for a foreign employer while holidaying in the country for up to 90 days,BBC Business,2025-01-28T07:22:50.003156
Inside the race for Greenlands mineral wealth,The territorys untapped mineral wealth has caught the eye of both mining firms and Donald Trump,BBC Business,2025-01-28T07:22:50.003156
Will a third runway at Heathrow help UK growth,Chancellor Rachel Reeves is set to announce expansion plans but some question the shortterm benefits,BBC Business,2025-01-28T07:22:50.003156
We are not lazy Working from home criticism sparks anger,Hundreds of BBC readers disagreed with former Asda boss Lord Roses view that working from home is not proper work,BBC Business,2025-01-28T07:22:50.003156
Top executives resign over Japanese TV hosts sex scandal,Companies have pulled advertisements from Fuji TV which was criticised for covering up the scandal,BBC Business,2025-01-28T07:22:50.003156
Im slowly paying off 7000 Tips from those tackling debt,People who have fought their way out of debt give their best advice on coping in tough financial times,BBC Business,2025-01-28T07:22:50.003156
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2025-01-28T07:22:50.003156
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2025-01-28T07:22:50.003156
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2025-01-28T07:22:50.003156
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2025-01-28T07:22:50.003156
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2025-01-28T07:22:50.003156
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2025-01-28T07:22:50.003156
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2025-01-28T07:22:50.003156
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2025-01-28T07:22:50.003156
