Title,Description,Source,Fetched Date,Combined Text,Sentiment,Score
Should you have to pay for online privacy,Some websites have started introducing paywalls which can be lifted with data rather than cash,BBC Business,2024-08-24T11:50:28.014398,pay online privacy . website started introducing paywalls lifted data rather cash,-0.1027,Neutral
Indiana Jonesinspired man finds 748 historic coins,The coins are expected to fetch 75000 at auction next month,BBC Business,2024-08-24T11:50:28.014398,indiana jonesinspired man find 748 historic coin . coin expected fetch 75000 auction next month,0.0,Neutral
Canadian rail workers begin returning to work as stoppage partially ends,Workers at one of Canadas two main railways resume work on Friday partially ending a lockout after government intervention,BBC Business,2024-08-24T11:50:28.014398,canadian rail worker begin returning work stoppage partially end . worker one canada two main railway resume work friday partially ending lockout government intervention,0.0,Neutral
Time has come for interest rate cut says Fed chair,The remarks signal a new fight for the US central bank after two years battling inflation,BBC Business,2024-08-24T11:50:28.014398,time come interest rate cut say fed chair . remark signal new fight u central bank two year battling inflation,-0.4215,Negative
Bolt acts to halt NigeriaSouth Africa taxiwar,People were booking and then cancelling rides in the other country as a prank,BBC Business,2024-08-24T11:50:28.014398,bolt act halt nigeriasouth africa taxiwar . people booking cancelling ride country prank,-0.2023,Neutral
US accuses software firm of driving rent hikes,The US has sued software firm RealPage accusing it of allowing landlords to coordinate on pricing,BBC Business,2024-08-24T11:50:28.014398,u accuses software firm driving rent hike . u sued software firm realpage accusing allowing landlord coordinate pricing,-0.4767,Negative
TikTok blamed for hit to Iceland cucumber supply,One supermarket says demand has more than doubled after viral videos promote unique recipes,BBC Business,2024-08-24T11:50:28.014398,tiktok blamed hit iceland cucumber supply . one supermarket say demand doubled viral video promote unique recipe,-0.25,Negative
ExBoeing staff claims electrical faults concealed,A campaign group has accused Boeing of concealing information about electrical problems on a plane,BBC Business,2024-08-24T11:50:28.014398,exboeing staff claim electrical fault concealed . campaign group accused boeing concealing information electrical problem plane,-0.765,Negative
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-08-24T11:50:28.014398,good bad billionaire . simon jack zing tsjeng find world billionaire made money judge good bad another billionaire listen season two new episode released monday,-0.296,Negative
Why Zoom wants you to go back to the office,Zoom chief product officer Smita Hashim explains why even videochat innovators need the physical space with a little help from AI,BBC Business,2024-08-24T11:50:28.014398,zoom want go back office . zoom chief product officer smita hashim explains even videochat innovator need physical space little help ai,0.4033,Positive
Aly Raisman on competing at the highest level,The decorated US gymnast opened up to the BBCs Katty Kay about blocking out the noise trusting her training and her winning mindset,BBC Business,2024-08-24T11:50:28.014398,aly raisman competing highest level . decorated u gymnast opened bbcs katty kay blocking noise trusting training winning mindset,0.5423,Positive
Jackie JoynerKersees goldmedal attitude,The retired athlete and halloffamer opened up to the BBCs Katty Kay about the challenges she faced on the road to the Olympics and the winning mindset that saw her through them,BBC Business,2024-08-24T11:50:28.014398,jackie joynerkersees goldmedal attitude . retired athlete halloffamer opened bbcs katty kay challenge faced road olympics winning mindset saw,0.5719,Positive
Olympic legend Lindsey Vonn explains the mindset of a winner,The decorated US downhill skier opens up to Katty Kay about the mental state that led her to gold medal victory and the hole thats left when her mind isnt on winning anymore,BBC Business,2024-08-24T11:50:28.014398,olympic legend lindsey vonn explains mindset winner . decorated u downhill skier open katty kay mental state led gold medal victory hole thats left mind isnt winning anymore,0.6278,Positive
Chinese scammers cheated victims from Isle of Man base,A seaside hotel and office block were used by scam artists who tricked people out of millions of dollars,BBC Business,2024-08-24T11:50:28.014398,chinese scammer cheated victim isle man base . seaside hotel office block used scam artist tricked people million dollar,-0.9118,Negative
Crew of oil tanker rescued after multiple attacks in Red Sea,The Greekflagged Sounion carrying 150000 tonnes of oil was hit by gunfire and three projectiles,BBC Business,2024-08-24T11:50:28.014398,crew oil tanker rescued multiple attack red sea . greekflagged sounion carrying 150000 tonne oil hit gunfire three projectile,-0.0772,Neutral
Yemen weapons dealers selling machine guns on X,The traders operate in the capital Sanaa and other areas under control of the Houthis,BBC Business,2024-08-24T11:50:28.014398,yemen weapon dealer selling machine gun x. trader operate capital sanaa area control houthis,-0.5574,Negative
Tributes paid to UKs greatest tech entrepreneur,A leading figure in the UK tech scene Mike Lynch died shortly after winning a legal battle in the US,BBC Business,2024-08-24T11:50:28.014398,tribute paid uk greatest tech entrepreneur . leading figure uk tech scene mike lynch died shortly winning legal battle u,0.4404,Positive
Starbucks new boss under fire for 1000mile commute,Job offer which allows new boss to commute to and from work on corporate jet sparked criticism,BBC Business,2024-08-24T11:50:28.014398,starbucks new bos fire 1000mile commute . job offer allows new bos commute work corporate jet sparked criticism,-0.6486,Negative
Singer wins 20k payout from music company,Troi Irons was also evicted out of his flat after the music company failed to pay his rent,BBC Business,2024-08-24T11:50:28.014398,singer win 20k payout music company . troi iron also evicted flat music company failed pay rent,0.0258,Neutral
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2024-08-24T11:50:28.014398,playing fire quit work retire 30 . personal finance strategy popular among millennials helping quit job retire decade early,0.5267,Positive
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2024-08-24T11:50:28.014398,boomerang ceo ever succeed . five year ousted wework adam neumann want rebuy nowbankrupt business,0.5423,Positive
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2024-08-24T11:50:28.014398,industry leader transformed career . bbcs katty kay spoken successful changemakers ask made pivot career,0.5859,Positive
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2024-08-24T11:50:28.014398,woman original beer brewer changed . today beer industry maledominated wasnt always,0.3182,Positive
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2024-08-24T11:50:28.014398,waiting alters perception time . expert advice get waiting period,0.0,Neutral
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2024-08-24T11:50:28.014398,superrich deserve wealth . cap billionaire wealth inheritance,0.7506,Positive
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2024-08-24T11:50:28.014398,four simple hack succeed every conversation . career coach choreographer chef dragon boat captain offer advice giving critical feedback,0.5106,Positive
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2024-08-24T11:50:28.014398,solo hybrid work navigating future new normal . covid19 reshaped way live work rethink solo working explore future worklife,0.0,Neutral
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2024-08-24T11:50:28.014398,supersonic flight ever sustainable . new era quiet net zero supersonic airliner could revolutionise aviation industry,0.0,Neutral
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2024-08-24T11:50:28.014398,commencement speech surprising pitfall passion . student graduating u week commencement speech might lead questionable choice,0.4404,Positive
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2024-08-24T11:50:28.014398,asmr whispering took internet . meet creator behind current asmr boom,0.0,Neutral
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2024-08-24T11:50:28.014398,desk full description work colleague . long lost word youve waiting describe colleague,-0.3182,Negative
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2024-08-24T11:50:28.014398,veterinarian suicide rate high . veterinarian professional committing suicide higher rate general population,-0.8658,Negative
Charities fear double energy price hit for pensioners,Rising energy prices and the withdrawal of financial support will hit some hard charities say,BBC Business,2024-08-24T11:50:28.014398,charity fear double energy price hit pensioner . rising energy price withdrawal financial support hit hard charity say,0.7906,Positive
Royal Mail fails to meet spring delivery targets,Royal Mail delivered less than 80 of first class post on time between April and the end of June,BBC Business,2024-08-24T11:50:28.014398,royal mail fails meet spring delivery target . royal mail delivered less 80 first class post time april end june,-0.4215,Negative
Typical household energy bill up 149 a year in October,Energy regulator Ofgem announces price changes for 27 million households in England Wales and Scotland,BBC Business,2024-08-24T11:50:28.014398,typical household energy bill 149 year october . energy regulator ofgem announces price change 27 million household england wale scotland,0.4939,Positive
Shein reveals child labour cases at suppliers,The Chinese fast fashion giant has been tightening scrutiny of firms that make the clothes it sells,BBC Business,2024-08-24T11:50:28.014398,shein reveals child labour case supplier . chinese fast fashion giant tightening scrutiny firm make clothes sell,0.0,Neutral
Plan to hike UK windfall tax sparks energy jobs warning,Firms across the supply chain to the oil and gas industry have warned that official plans threaten investment,BBC Business,2024-08-24T11:50:28.014398,plan hike uk windfall tax spark energy job warning . firm across supply chain oil gas industry warned official plan threaten investment,-0.4767,Negative
Child benefit claims rise after income rule change,The number of new claims rose in April after a rule change on how much parents can earn and still be eligible,BBC Business,2024-08-24T11:50:28.014398,child benefit claim rise income rule change . number new claim rose april rule change much parent earn still eligible,0.5106,Positive
Bangladesh to raise rates says new bank chief,Soaring prices have been a major concern for the country as its currency comes under pressure,BBC Business,2024-08-24T11:50:28.014398,bangladesh raise rate say new bank chief . soaring price major concern country currency come pressure,-0.296,Negative
McDonalds to open 200 new restaurants in growth drive,Drive to sites with a small seating area and no drivethrough will be tested as part of the offer,BBC Business,2024-08-24T11:50:28.014398,mcdonalds open 200 new restaurant growth drive . drive site small seating area drivethrough tested part offer,0.3818,Positive
Ford scales back EV plans citing price pressures,Ford scraps plans for a large allelectric SUV and postpones its next electric pickup,BBC Business,2024-08-24T11:50:28.014398,ford scale back ev plan citing price pressure . ford scrap plan large allelectric suv postpones next electric pickup,-0.5106,Negative
Honey not marmalade is saving the real Paddington Bear,Drought and conflict with farmers are threatening Bolivias Andean bear the reallife Paddington Bear Now a beekeeping project is helping protect this endangered species,BBC Earth,2024-08-24T11:50:28.802935,honey marmalade saving real paddington bear . drought conflict farmer threatening bolivia andean bear reallife paddington bear beekeeping project helping protect endangered specie,-0.2263,Neutral
The deceptive power of a category 1 hurricane,Dont be lured into a false sense of security by a category one hurricane storm surge and flooding mean they can be as dangerous as a category five,BBC Earth,2024-08-24T11:50:28.802935,deceptive power category 1 hurricane . dont lured false sense security category one hurricane storm surge flooding mean dangerous category five,-0.1779,Neutral
How Florida is securing drinking water for millions,Florida is embarking on an ambitious ecological restoration project in the Everglades building a reservoir large enough to secure the states water supply,BBC Earth,2024-08-24T11:50:28.802935,florida securing drinking water million . florida embarking ambitious ecological restoration project everglades building reservoir large enough secure state water supply,0.7783,Positive
The scientists drilling into an active Icelandic volcano,Scientists are preparing to drill into the rock of an Icelandic volcano to learn more about how volcanoes behave,BBC Earth,2024-08-24T11:50:28.802935,scientist drilling active icelandic volcano . scientist preparing drill rock icelandic volcano learn volcano behave,0.4019,Positive
Earths spectacular and remote capital of lightning,With storms occurring between 140 to 160 nights a year its no wonder the area is a world record holder,BBC Earth,2024-08-24T11:50:28.802935,earth spectacular remote capital lightning . storm occurring 140 160 night year wonder area world record holder,0.0,Neutral
Less is more Can degrowth save the world,The degrowth movement questions the feasibility of the idea of endless economic growth on a finite planet,BBC Earth,2024-08-24T11:50:28.802935,less degrowth save world . degrowth movement question feasibility idea endless economic growth finite planet,0.6728,Positive
How fixing how we farm might stop the next pandemic,Land use for food and agriculture around the world is putting pressure on climate and biodiversity,BBC Earth,2024-08-24T11:50:28.802935,fixing farm might stop next pandemic . land use food agriculture around world putting pressure climate biodiversity,-0.5267,Negative
How electric vehicles could improve our mental health,Noise and air pollution are major threats and EVs can therefore offer a promising solution,BBC Earth,2024-08-24T11:50:28.802935,electric vehicle could improve mental health . noise air pollution major threat ev therefore offer promising solution,0.5423,Positive
How greening our cities can reduce heat stress,Heat is the most deadly extreme weather phenomenon and cities are seeking ways to cool their urban cores,BBC Earth,2024-08-24T11:50:28.802935,greening city reduce heat stress . heat deadly extreme weather phenomenon city seeking way cool urban core,-0.128,Neutral
How climate chaos is threatening the real Paddington bear,Drought forces the real Paddington Bear into deadly conflict with cattle farmers in the Andes,BBC Earth,2024-08-24T11:50:28.802935,climate chaos threatening real paddington bear . drought force real paddington bear deadly conflict cattle farmer andes,-0.8555,Negative
Tidal kites New technology harnessing ocean energy,These mechanical creatures lurk beneath the waters surface and power homes in the Faroe Islands,BBC Earth,2024-08-24T11:50:28.802935,tidal kite new technology harnessing ocean energy . mechanical creature lurk beneath water surface power home faroe island,0.0772,Neutral
Malaysias adventure hotspot that crosses seven habitats,An 11mile hike in the Bako National Park in Malaysia transports travellers through seven distinct habitats,BBC Earth,2024-08-24T11:50:28.802935,malaysia adventure hotspot cross seven habitat . 11mile hike bako national park malaysia transport traveller seven distinct habitat,0.3182,Positive
The global phenomenon swallowing whole neighbourhoods,Giant ravines Entire communities are disappearing because of an extreme form of soil erosion,BBC Earth,2024-08-24T11:50:28.802935,global phenomenon swallowing whole neighbourhood . giant ravine entire community disappearing extreme form soil erosion,0.0,Neutral
A tale of the US through abandoned buildings,Two urban explorers stories of decay tell a tale of a changing American cultural landscape,BBC Earth,2024-08-24T11:50:28.802935,tale u abandoned building . two urban explorer story decay tell tale changing american cultural landscape,-0.6908,Negative
What makes the emperor penguin an eggcellent father,In the BBC Select documentary Penguins Spy in the Huddle we explore the world of penguin fathers,BBC Earth,2024-08-24T11:50:28.802935,make emperor penguin eggcellent father . bbc select documentary penguin spy huddle explore world penguin father,0.0,Neutral
The floating houses that are resilient to extreme weather,The floating houses built to withstand typhoons and flooding in the Philippines,BBC Earth,2024-08-24T11:50:28.802935,floating house resilient extreme weather . floating house built withstand typhoon flooding philippine,0.0,Neutral
What its like to camp in Antarctica,Marc Cieslak spends a night on ice camping under the stars,BBC Earth,2024-08-24T11:50:28.802935,like camp antarctica . marc cieslak spends night ice camping star,0.3612,Positive
