Title,Description,Source,Fetched Date
Microsoft relaunches privacy nightmare AI screenshot tool,It says it has listened to concerns about the tool which continuously screenshots online activity,BBC Business,2024-09-28T07:21:04.461023
Uber terms mean couple cant sue after lifechanging crash,Ubers US terms of service which they accepted mean disputes have to be settled out of court,BBC Business,2024-09-28T07:21:04.461023
UK Treasury reconsidering Labour plan for nondom tax status,The change follows concerns over how much money will be raised should wealthy foreigners leave the UK,BBC Business,2024-09-28T07:21:04.461023
Facebook parent company fined 91m over password storage,An inquiry was launched in April 2019 by the Irish Data Protection Commission,BBC Business,2024-09-28T07:21:04.461023
Titanic shipbuilder formally enters administration,Harland and Wolff the Belfast shipbuilder has formally entered administration for the second time,BBC Business,2024-09-28T07:21:04.461023
One of a kind Scotlands poker king of Las Vegas,Niall Farrell is Scotlands top professional and plays in big tournaments around the world,BBC Business,2024-09-28T07:21:04.461023
Starmer says Tesla investment welcome after Musk row,After Elon Musk fight Sir Keir Starmer says investment from anywhere is encouraged,BBC Business,2024-09-28T07:21:04.461023
Zimbabwe knocks 40 off value of goldbacked currency,The central bank says the exchange rate allows for greater flexibility,BBC Business,2024-09-28T07:21:04.461023
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2024-09-28T07:21:04.461023
China is part of the US election but only from one candidate,There is a stark difference in how and how often each candidate addresses the USChina relationship,BBC Business,2024-09-28T07:21:04.461023
Trump vows to take other countries jobs in economic speech,Trump pledged that companies who manufactured in the US would receive benefits while those who did business elsewhere would face steep costs,BBC Business,2024-09-28T07:21:04.461023
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-09-28T07:21:04.461023
How Microsoft is tackling AI bias,Microsoft is turning to AI to make its workplace more inclusive,BBC Business,2024-09-28T07:21:04.461023
Companys skinny prosecco misled customers,Court hears lowsugar drinks sold with misleading labelling as websites owner is fined,BBC Business,2024-09-28T07:21:04.461023
How pen and paper comes to the rescue in an IT crisis,Firms are advised to practise operating with pens and paper in case of a computer meltdown,BBC Business,2024-09-28T07:21:04.461023
Musk hits back after being shunned from UK summit,There is concern about his social media posts about the UK during last months riots the BBC understands,BBC Business,2024-09-28T07:21:04.461023
Im a capitalist says Harris in economic pitch to US voters,Harris is seeking to chip away at Donald Trumps advantage with voters on the economy a key election issue,BBC Business,2024-09-28T07:21:04.461023
Dame Judi Dench and John Cena to voice Meta AI chatbot,The firm also unveiled the first working prototype of Metas augmentedreality glasses called Orion,BBC Business,2024-09-28T07:21:04.461023
IMF approves 7bn loan to cashstrapped Pakistan,Pakistan has taken more than 20 loans from the IMF since 1958 and is currently its fifthlargest debtor,BBC Business,2024-09-28T07:21:04.461023
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2024-09-28T07:21:04.461023
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2024-09-28T07:21:04.461023
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2024-09-28T07:21:04.461023
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2024-09-28T07:21:04.461023
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2024-09-28T07:21:04.461023
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2024-09-28T07:21:04.461023
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2024-09-28T07:21:04.461023
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2024-09-28T07:21:04.461023
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2024-09-28T07:21:04.461023
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2024-09-28T07:21:04.461023
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2024-09-28T07:21:04.461023
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2024-09-28T07:21:04.461023
Battery storage site approved in green belt field,The site will provide standby emergency electricity for the National Grid when demand is high,BBC Business,2024-09-28T07:21:04.461023
How are nondom rules changing in the UK,The nondomicile rules let some UK residents limit the tax paid on earnings outside the country,BBC Business,2024-09-28T07:21:04.461023
Boeing staff report pressure to lower standards,US lawmakers say regulators need to be tougher on Boeing to force change at the troubled company,BBC Business,2024-09-28T07:21:04.461023
Yorkshire worst region for bank access report,Yorkshire and the Humber has just 44 bank branches left per 100000 people a Which report says,BBC Business,2024-09-28T07:21:04.461023
Legal challenge to Rosebank oil field given goahead,Greenpeace and Uplift have brought judicial reviews to stop the development of Rosebank oil field and Jackdaw gas field,BBC Business,2024-09-28T07:21:04.461023
ScotRail drivers accept deal to end longrunning pay dispute,ScotRail has been running a reduced timetable since July due to staff shortages during the dispute,BBC Business,2024-09-28T07:21:04.461023
Banks must refund fraud up to 85000 in five days,Victims tricked into sending money to scammers must be refunded within five days under new rules,BBC Business,2024-09-28T07:21:04.461023
Petrol prices fall to lowest for three years,Lower global oil prices and a stronger pound were the main reasons prices had fallen the RAC says,BBC Business,2024-09-28T07:21:04.461023
Nike and Sky ads banned over online tactics,Advertising standards found the ads were misleading in the way information was presented,BBC Business,2024-09-28T07:21:04.461023
The shrinking habitat of a celebrity hippo,The illustrious Moo Deng has attracted a frenzy of attention But in the wild her species is quietly disappearing,BBC Earth,2024-09-28T07:21:04.546357
The worlds greatest unpaid debt,Should rich countries and fossil fuel companies pay for the climate losses and damages they have caused,BBC Earth,2024-09-28T07:21:04.546357
The former trash islands teeming with life,Sri Lankas capital city has transformed its polluted aquatic ecosystems into biodiverse havens for wildlife,BBC Earth,2024-09-28T07:21:04.546357
The science behind the mini moon entering Earths orbit,An asteroid is going to circle our planet for two months this autumn before going on its way,BBC Earth,2024-09-28T07:21:04.546357
Icelands hightech farm turning algae into food,A facility near the Icelandic capital Reykjavik is using innovative farming technology to grow algae,BBC Earth,2024-09-28T07:21:04.546357
The Bahamas The last lighthouse of its kind,Reece Parkinson heads to the Bahamas where he meets a community adapting to unpredictable weather patterns,BBC Earth,2024-09-28T07:21:04.546357
Protecting Thailands famous paradise beach,Lucy Hedges is in Thailand where she explores the beach made worldfamous by Hollywood,BBC Earth,2024-09-28T07:21:04.546357
The scientists drilling into an active Icelandic volcano,Scientists are preparing to drill into the rock of an Icelandic volcano to learn more about how volcanoes behave,BBC Earth,2024-09-28T07:21:04.546357
Earths spectacular and remote capital of lightning,With storms occurring between 140 to 160 nights a year its no wonder the area is a world record holder,BBC Earth,2024-09-28T07:21:04.546357
Less is more Can degrowth save the world,The degrowth movement questions the feasibility of the idea of endless economic growth on a finite planet,BBC Earth,2024-09-28T07:21:04.546357
How fixing how we farm might stop the next pandemic,Land use for food and agriculture around the world is putting pressure on climate and biodiversity,BBC Earth,2024-09-28T07:21:04.546357
How electric vehicles could improve our mental health,Noise and air pollution are major threats and EVs can therefore offer a promising solution,BBC Earth,2024-09-28T07:21:04.546357
How greening our cities can reduce heat stress,Heat is the most deadly extreme weather phenomenon and cities are seeking ways to cool their urban cores,BBC Earth,2024-09-28T07:21:04.546357
How climate chaos is threatening the real Paddington bear,Drought forces the real Paddington Bear into deadly conflict with cattle farmers in the Andes,BBC Earth,2024-09-28T07:21:04.546357
Tidal kites New technology harnessing ocean energy,These mechanical creatures lurk beneath the waters surface and power homes in the Faroe Islands,BBC Earth,2024-09-28T07:21:04.546357
Malaysias adventure hotspot that crosses seven habitats,An 11mile hike in the Bako National Park in Malaysia transports travellers through seven distinct habitats,BBC Earth,2024-09-28T07:21:04.546357
The global phenomenon swallowing whole neighbourhoods,Giant ravines Entire communities are disappearing because of an extreme form of soil erosion,BBC Earth,2024-09-28T07:21:04.546357
A tale of the US through abandoned buildings,Two urban explorers stories of decay tell a tale of a changing American cultural landscape,BBC Earth,2024-09-28T07:21:04.546357
What makes the emperor penguin an eggcellent father,In the BBC Select documentary Penguins Spy in the Huddle we explore the world of penguin fathers,BBC Earth,2024-09-28T07:21:04.546357
The floating houses that are resilient to extreme weather,The floating houses built to withstand typhoons and flooding in the Philippines,BBC Earth,2024-09-28T07:21:04.546357
What its like to camp in Antarctica,Marc Cieslak spends a night on ice camping under the stars,BBC Earth,2024-09-28T07:21:04.546357
Why sunsets on Mars are tinted blue,The reason behind the Red Planets nickname is also why its sunrises and sunsets look pale blue,BBC Earth,2024-09-28T07:21:04.546357
Molossia A small unrecognised nation within the US,With its own currency and head of state this American micronation has become an odd tourist destination,BBC Earth,2024-09-28T07:21:04.546357
How climate change is supercharging storms,The behaviour of the worlds most powerful storms is evolving To adapt to more destructive hurricanes typhoons and tropical cyclones we need to know how theyre changing,BBC Earth,2024-09-28T07:21:04.546357
The feud that brought electricity to New York,When electricity was first rolled out in New York in the late 19th Century sparks flew between competitors Today the city is attempting to complete its electric evolution,BBC Earth,2024-09-28T07:21:04.546357
