Title,Description,Source,Fetched Date
Roman Abramovich could owe UK 1bn over tax dodge that helped bankroll Chelsea FC,Scheme to avoid tax on offshore billions may have been botched because money was managed from the UK BBC learns,BBC Business,2025-01-29T07:22:01.178281
Trump offers millions of federal workers eight months pay to resign,The buyout offer to those who do not want to return to the office is part of the presidents plan to shrink the US government,BBC Business,2025-01-29T07:22:01.178281
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2025-01-29T07:22:01.178281
Boeing loses almost 1bn every month in 2024,Boeing reported its second biggest annual loss ever after a tough year following a midair accident and worker strikes,BBC Business,2025-01-29T07:22:01.178281
UK will not be able to resist Chinas tech dominance,Chinas AI success has come from policy and Chancellor Rachel Reevess recent visit to China highlights the importance of a close relationship,BBC Business,2025-01-29T07:22:01.178281
Chinas DeepSeek AI on US national security radar,The White House is looking into whether Chinas apparent AI breakthrough affects US national security,BBC Business,2025-01-29T07:22:01.178281
Whats the plan for a third runway at Heathrow Airport,The chancellor says expanding Heathrow would boost growth but there is a lot of vocal opposition,BBC Business,2025-01-29T07:22:01.178281
US tech stocks steady after DeepSeek AI app shock,DeepSeeks claim that its model was made at a fraction of the cost of its rivals has rocked the AI industry,BBC Business,2025-01-29T07:22:01.178281
DeepSeek shows AIs centre of power could shift away from US,The apps strong debut has shaken beliefs that the US would remain the unchallenged global AI superpower writes the BBCs Marc Cieslak,BBC Business,2025-01-29T07:22:01.178281
Inside the race for Greenlands mineral wealth,The territorys untapped mineral wealth has caught the eye of both mining firms and Donald Trump,BBC Business,2025-01-29T07:22:01.178281
Womens sport becoming a key asset class 28 Jan 2025,Basketball boss Nadia Rawlinson on why womens sport is scoring high as an asset class,BBC Business,2025-01-29T07:22:01.178281
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2025-01-29T07:22:01.178281
How one product made a multimillion dollar brand,Nell Diamond CEO of Hill House Home shares how her small business skyrocketed to global success with the launch of the Nap Dress in 2019,BBC Business,2025-01-29T07:22:01.178281
How Chinas AI heroes overcame US curbs to stun Silicon Valley,How did a littleknown Chinese startup build a powerful new AI model despite restrictions,BBC Business,2025-01-29T07:22:01.178281
Abramovich dodged millions in tax with superyachtsforhire scheme,Shell companies were used to charter the sanctioned oligarchs yachts to himself evading VAT BBC reveals,BBC Business,2025-01-29T07:22:01.178281
Chinas DeepSeek AI shakes industry and dents Americas swagger,The app spooked the markets as well as the bullish sense of American superiority in AI development,BBC Business,2025-01-29T07:22:01.178281
White House defends freezing funds as reasonable while Democrats express extreme alarm,The order is a potential fivealarm fire for organizations that serve communities nonprofit group executive says,BBC Business,2025-01-29T07:22:01.178281
Microsoft in talks to buy TikTok Trump says,The US President says he would like to see a bidding war over the sale of the social media app,BBC Business,2025-01-29T07:22:01.178281
CocaCola recalls drinks over safety concerns,The company says the drinks contain higher levels of chlorate but says the risk is very low,BBC Business,2025-01-29T07:22:01.178281
Playing with FIRE How to quit work and retire in your 30s,A personal finance strategy popular among millennials is helping them to quit their job and retire decades early,BBC Business,2025-01-29T07:22:01.178281
Boomerang CEOs Do they ever succeed,Five years after being ousted from WeWork Adam Neumann wants to rebuy the nowbankrupt business,BBC Business,2025-01-29T07:22:01.178281
How industry leaders transformed their career,The BBCs Katty Kay has spoken to successful changemakers to ask what made them pivot in their career,BBC Business,2025-01-29T07:22:01.178281
Women were the original beer brewers what changed,Today the beer industry is maledominated but it wasnt always so,BBC Business,2025-01-29T07:22:01.178281
How waiting alters our perception of time,Expert advice on how to get through a waiting period,BBC Business,2025-01-29T07:22:01.178281
Do the superrich deserve their wealth,Should there be a cap on billionaires wealth and their inheritances,BBC Business,2025-01-29T07:22:01.178281
Four simple hacks to succeed in every conversation,A career coach a choreographer a chef and a dragon boat captain offer advice on giving critical feedback,BBC Business,2025-01-29T07:22:01.178281
Solo and hybrid work Navigating our future and new normal,Covid19 reshaped the way we live and work We rethink solo working and explore the future of worklife,BBC Business,2025-01-29T07:22:01.178281
Can supersonic flight ever be sustainable,How a new era of quiet net zero supersonic airliners could revolutionise the aviation industry,BBC Business,2025-01-29T07:22:01.178281
Commencement speech The surprising pitfall of your passions,Students are graduating in the US this week The commencement speeches might lead them into questionable choices,BBC Business,2025-01-29T07:22:01.178281
ASMR How whispering took over the internet,We meet the creators behind the current ASMR boom,BBC Business,2025-01-29T07:22:01.178281
A desk full of descriptions for your work colleagues,These are the long lost words youve been waiting for to describe your colleagues,BBC Business,2025-01-29T07:22:01.178281
Veterinarian suicide rates are very high Why,Veterinarian professionals are committing suicide at a higher rate than the general population,BBC Business,2025-01-29T07:22:01.178281
The Chinese AI app that has the world talking,A Chinese startup has built a lowcost AI model using less technologically advanced chips,BBC Business,2025-01-29T07:22:01.178281
Is Chinas AI tool DeepSeek as good as it seems,The artificial intelligence AI tool has shocked US markets after bursting onto the scene,BBC Business,2025-01-29T07:22:01.178281
Jaguar Land Rover bets 80m on bespoke paint services,The firm says it will more than double its capacity for bespoke paint orders for wealthy customers,BBC Business,2025-01-29T07:22:01.178281
Colombia yields on US deportation flights to avert trade war,President Gustavo Petro agrees to accept deported migrants after Trump ordered 25 tariffs on all goods,BBC Business,2025-01-29T07:22:01.178281
New Zealand eases visa rules for digital nomads to boost tourism,Visitors can now carry out remote working for a foreign employer while holidaying in the country for up to 90 days,BBC Business,2025-01-29T07:22:01.178281
Will a third runway at Heathrow help UK growth,Chancellor Rachel Reeves is set to announce expansion plans but some question the shortterm benefits,BBC Business,2025-01-29T07:22:01.178281
We are not lazy Working from home criticism sparks anger,Hundreds of BBC readers disagreed with former Asda boss Lord Roses view that working from home is not proper work,BBC Business,2025-01-29T07:22:01.178281
Top executives resign over Japanese TV hosts sex scandal,Companies have pulled advertisements from Fuji TV which was criticised for covering up the scandal,BBC Business,2025-01-29T07:22:01.178281
Im slowly paying off 7000 Tips from those tackling debt,People who have fought their way out of debt give their best advice on coping in tough financial times,BBC Business,2025-01-29T07:22:01.178281
Selena Gomez Told by Border Czar to Cry to Congress as Senate Hopeful Calls for Deportation,The singeractress had posted and deleted a video of her sobbing over ICE raids,Hollywood Reporter,2025-01-29T07:22:01.435168
White House Says It Is Opening Briefing Room to Podcasters Social Media Influencers and Content Creators,Press Secretary Karoline Leavitt announced the new policy during her first press briefing Tuesday,Hollywood Reporter,2025-01-29T07:22:01.435168
Caroline Kennedy Excoriates RFK Jr Ahead of Confirmation a Predator,He put baby chickens and mice in the blender she says of her cousin chosen by President Trump to head HHS,Hollywood Reporter,2025-01-29T07:22:01.435168
BFI Raises Alarm Over Trumps Protectionist Language Around Hollywood,British Film Institute Chair Jay Hunt spoke at a UK parliamentary inquiry on Tuesday about the protectionist language around Hollywood since Trump reclaimed the White House,Hollywood Reporter,2025-01-29T07:22:01.435168
Google Maps to Alter Names of Denali and Gulf of Mexico After Trump Executive Order,The tech giant revealed the reasons behind the proposed changes on social media after receiving questions from users,Hollywood Reporter,2025-01-29T07:22:01.435168
Hayley Williams Finneas and St Vincent Among Performers at Latest LA Fire Relief Benefit Concert,Gve A Fck LA a benefit concert and auction for those impacted by the recent wildfires will be held at the Hollywood Palladium,Hollywood Reporter,2025-01-29T07:22:01.435168
Blink182 Announces LA Fire Relief Concert,The rock band is holding a onenightonly performance at the Hollywood Palladium with 100 percent of ticket proceeds going toward various LA wildfire relief efforts,Hollywood Reporter,2025-01-29T07:22:01.435168
Bill Gates Admonishes Elon Musk Over Meddling in Foreign Politics This is Insane S,The Microsoft founder and former richest man in the world slammed the current wealthiest CEO as he tries to pull political strings in the UK and Germany,Hollywood Reporter,2025-01-29T07:22:01.435168
Selena Gomez Sobs Over Trumps Deportations in Emotional Video,The singer posted and then deleted a tearfilled Instagram video about ICE arrests,Hollywood Reporter,2025-01-29T07:22:01.435168
Grammys 2025 The Complete Guide to Parties and Events Updating,Though many of the celebrations surrounding musics biggest night have been canceled following the LA fires a handful of key events are still on,Hollywood Reporter,2025-01-29T07:22:01.435168
Lady Gaga Announces New Album Mayhem,The third single and music video from the singers highly anticipated album will premiere during a Grammy Awards commercial break,Hollywood Reporter,2025-01-29T07:22:01.435168
Freed Israeli Hostage Wears Justin Biebers Clothing Line Upon Release CoFounder Reacts Exclusive,Liri Albag a 19yearold Israeli hostage released by Hamas this weekend wore a sweatshirt from Bieber and Ryan Goods clothing label We always envisioned Drew House to be a global symbol of love and joy Good tells THR,Hollywood Reporter,2025-01-29T07:22:01.435168
Cricket world says same thing about Smith,It took a little longer than he would have wanted but Aussie veteran Steve Smith has just joined an exclusive club against Sri Lanka,News AU,2025-01-29T07:22:03.205186
Aussies make call on Healys Test return,Australia captain Alyssa Healy has fronted the media to provide the latest on her injury ahead of Thursdays Ashes Test match at the MCG,News AU,2025-01-29T07:22:03.205186
Socceroo impresses in Portsmouth debut,English Championship club Portsmouth has wasted no time in giving a debut to Socceroos defender Hayden Matthews,News AU,2025-01-29T07:22:03.205186
Konstas officially axed as Aussies rolls dice,Australia has officially abandoned the Sam Konstas experiment with selectors making a series of massive changes for the first Test,News AU,2025-01-29T07:22:03.205186
