Title,Description,Source,Fetched Date
Indian airlines hit by nearly 1000 hoax bomb threats,More than 500 of the years bomb threats were received just in the last two weeks of October,BBC Business,2024-11-29T07:26:35.897181
Canadas oil patch rattled by Trumps tariff threat,The proposed tariffs if applied to oil and gas could hammer Canadas economy and hike prices at the pump for Americans analysts say,BBC Business,2024-11-29T07:26:35.897181
World of Business,Gain the leading edge with global insights for the boardroom and beyond in your inbox every Wednesday,BBC Business,2024-11-29T07:26:35.897181
Black Friday How to spot a deal and not get ripped off,Experts tell us how to work out if a deal is a genuine bargain or could leave you out of pocket,BBC Business,2024-11-29T07:26:35.897181
Uniqlo does not use Xinjiang cotton boss says,It is the first time the CEO of the chains owner Fast Retailing has directly addressed the issue,BBC Business,2024-11-29T07:26:35.897181
Canada watchdog sues Google over alleged anticompetitive conduct,The suit is the latest regulatory headache for Google which is facing similar action in the US,BBC Business,2024-11-29T07:26:35.897181
Australia approves social media ban on under16s,The ban aims to reduce harms on children and will take at least a year to implement the PM says,BBC Business,2024-11-29T07:26:35.897181
A fatal car crash in India sparks concerns over Google Maps,Three men allegedly using Google Maps for directions died after their car fell off an unfinished bridge,BBC Business,2024-11-29T07:26:35.897181
Inside South Africas ruthless gangcontrolled gold mines,Illegal miners live dangerously but make roaring profits selling gold on the black market,BBC Business,2024-11-29T07:26:35.897181
Is nuclear power gaining new energy,Countries around the world are building new nuclear power stations,BBC Business,2024-11-29T07:26:35.897181
Trump tariffs may backfire on US auto firms Nov 27 2024,Expert says Trumps tariffs could hurt US firms as much as their Canadian counterparts in the auto industry,BBC Business,2024-11-29T07:26:35.897181
Good Bad Billionaire,Simon Jack and Zing Tsjeng find out how the worlds billionaires made their money and then judge them Are they good bad or just another billionaire Listen to season two New episodes released on Mondays,BBC Business,2024-11-29T07:26:35.897181
